epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,452.095,1.05996,0.80012,1.18649,0.75374,0.71979,0.77745,0.48478,1.40729,1.18118,1.46329,0.0005275,0.0005275,0.0005275
44,462.608,1.05481,0.79988,1.19138,0.85307,0.70614,0.77848,0.50228,1.39897,1.26236,1.45965,0.00051625,0.00051625,0.00051625
45,473,1.08709,0.80811,1.21115,0.82995,0.71807,0.76685,0.50214,1.43587,1.30139,1.47849,0.000505,0.000505,0.000505
46,483.37,1.04983,0.80262,1.17363,0.85952,0.74361,0.81272,0.52389,1.37304,1.16062,1.43802,0.00049375,0.00049375,0.00049375
47,493.949,1.08791,0.81492,1.1986,0.8227,0.76263,0.8234,0.53185,1.34503,1.09118,1.43701,0.0004825,0.0004825,0.0004825
48,504.459,1.03479,0.76094,1.17182,0.81232,0.75307,0.80904,0.52695,1.34435,1.12702,1.42468,0.00047125,0.00047125,0.00047125
49,514.791,0.9995,0.73988,1.15908,0.8664,0.66744,0.7876,0.51121,1.34909,1.21216,1.42036,0.00046,0.00046,0.00046
50,525.197,1.03391,0.77242,1.17761,0.85669,0.69695,0.79567,0.52477,1.36452,1.21084,1.42508,0.00044875,0.00044875,0.00044875
51,535.62,1.00869,0.7415,1.15843,0.80572,0.76732,0.81204,0.5351,1.37415,1.14767,1.43955,0.0004375,0.0004375,0.0004375
52,546.161,0.98235,0.74162,1.15061,0.88053,0.7598,0.81478,0.53758,1.35474,1.13159,1.43581,0.00042625,0.00042625,0.00042625
53,556.645,0.98625,0.73277,1.15363,0.86644,0.72369,0.82705,0.5449,1.32358,1.04208,1.41833,0.000415,0.000415,0.000415
54,567.313,0.98823,0.70768,1.14354,0.84353,0.73501,0.82613,0.54538,1.31583,1.13457,1.39132,0.00040375,0.00040375,0.00040375
55,577.81,0.9616,0.72522,1.13664,0.87942,0.75296,0.83017,0.54616,1.33751,1.09036,1.41636,0.0003925,0.0003925,0.0003925
56,588.353,0.99771,0.74392,1.15692,0.8747,0.73403,0.81795,0.54808,1.29991,1.1133,1.39011,0.00038125,0.00038125,0.00038125
57,598.805,0.9293,0.67076,1.11846,0.87352,0.7497,0.82861,0.55367,1.29946,1.10227,1.3836,0.00037,0.00037,0.00037
58,609.165,0.94587,0.66806,1.12238,0.83584,0.77325,0.82098,0.55055,1.30203,1.13138,1.38773,0.00035875,0.00035875,0.00035875
59,619.421,0.93096,0.66945,1.11986,0.89478,0.71259,0.80791,0.54211,1.31858,1.19254,1.37744,0.0003475,0.0003475,0.0003475
60,629.823,0.93258,0.66839,1.11817,0.8238,0.75393,0.81548,0.54197,1.31867,1.18715,1.40158,0.00033625,0.00033625,0.00033625
61,640.088,0.90657,0.65236,1.10919,0.87757,0.73673,0.82053,0.54359,1.30975,1.14447,1.39837,0.000325,0.000325,0.000325
62,650.51,0.89105,0.65007,1.09435,0.88944,0.74124,0.80237,0.54259,1.30992,1.23319,1.3927,0.00031375,0.00031375,0.00031375
63,660.999,0.89279,0.65548,1.10213,0.8695,0.7381,0.79231,0.53598,1.32501,1.2607,1.41282,0.0003025,0.0003025,0.0003025
64,671.312,0.90453,0.64723,1.11357,0.88909,0.71277,0.80015,0.53571,1.3042,1.21607,1.40509,0.00029125,0.00029125,0.00029125
65,681.73,0.88413,0.64217,1.09354,0.8742,0.75689,0.80004,0.55444,1.28937,1.18954,1.36437,0.00028,0.00028,0.00028
66,692.14,0.89517,0.64035,1.09502,0.87969,0.75146,0.80647,0.55266,1.28351,1.13737,1.37763,0.00026875,0.00026875,0.00026875
67,702.469,0.8445,0.59685,1.07542,0.87131,0.74507,0.82285,0.55754,1.29238,1.11966,1.37309,0.0002575,0.0002575,0.0002575
68,712.876,0.87245,0.61295,1.0877,0.88487,0.73202,0.80923,0.55676,1.29004,1.14294,1.37971,0.00024625,0.00024625,0.00024625
69,723.279,0.85298,0.61258,1.08277,0.87579,0.75966,0.82296,0.57244,1.28574,1.17167,1.38083,0.000235,0.000235,0.000235
70,733.666,0.84552,0.59558,1.07423,0.85963,0.7765,0.82273,0.57219,1.26434,1.13284,1.36507,0.00022375,0.00022375,0.00022375
71,744.745,0.7686,0.50088,1.01599,0.82652,0.7895,0.82396,0.56091,1.25533,1.1208,1.3706,0.0002125,0.0002125,0.0002125
72,755.174,0.73709,0.45964,1.01283,0.88077,0.77444,0.83131,0.5681,1.25786,1.09018,1.39293,0.00020125,0.00020125,0.00020125
73,765.355,0.75153,0.47362,1.02067,0.85331,0.79722,0.83328,0.57221,1.25143,1.0952,1.39095,0.00019,0.00019,0.00019
74,775.605,0.71107,0.44775,1.00495,0.92335,0.7425,0.83292,0.57334,1.23737,1.07262,1.37153,0.00017875,0.00017875,0.00017875
75,785.948,0.70207,0.43671,0.99527,0.8591,0.79616,0.83582,0.57023,1.2508,1.10638,1.37691,0.0001675,0.0001675,0.0001675
76,796.179,0.68964,0.43082,0.99168,0.87662,0.7866,0.83452,0.58205,1.25369,1.15285,1.36986,0.00015625,0.00015625,0.00015625
77,806.427,0.70007,0.4342,0.99795,0.88417,0.77113,0.83309,0.5751,1.24244,1.12571,1.36695,0.000145,0.000145,0.000145
78,816.727,0.67815,0.42009,0.98853,0.86363,0.78536,0.84209,0.58619,1.22283,1.12239,1.34668,0.00013375,0.00013375,0.00013375
79,827.105,0.66903,0.40527,0.97447,0.86826,0.79139,0.83745,0.59055,1.21071,1.11938,1.33938,0.0001225,0.0001225,0.0001225
80,837.339,0.6649,0.41109,0.97778,0.85441,0.79346,0.83611,0.59056,1.20349,1.09556,1.34629,0.00011125,0.00011125,0.00011125
